Order_Id,Shipping_Mode,Order_Date,Shipping_Date,Days_for_shipment _scheduled,Days_for_shipping _real,Late_delivery_risk,Delivery_Status
5991,Second Class,3/29/2015,3/31/2015,2,2,No late,Shipping on time
2263,Second Class,2/3/2015,2/7/2015,2,4,Late,Late delivery
53403,Second Class,2/18/2017,2/22/2017,2,4,Late,Late delivery
51298,Second Class,1/18/2017,1/22/2017,2,4,Late,Late delivery
4919,Standard Class,3/13/2015,3/18/2015,4,5,Late,Late delivery
52640,Standard Class,2/7/2017,2/13/2017,4,6,Late,Late delivery
6358,Standard Class,4/3/2015,4/7/2015,4,4,No late,Shipping on time
57106,Standard Class,4/13/2017,4/15/2017,4,2,No late,Advance shipping
6245,Standard Class,4/2/2015,4/8/2015,4,6,Late,Late delivery
52166,Standard Class,1/31/2017,2/2/2017,4,2,No late,Advance shipping
56172,Standard Class,3/30/2017,4/2/2017,4,3,No late,Advance shipping
55829,Standard Class,3/25/2017,3/30/2017,4,5,Late,Late delivery
52478,Standard Class,2/5/2017,2/9/2017,4,4,No late,Shipping on time
57242,Standard Class,4/15/2017,4/18/2017,4,3,No late,Advance shipping
3137,Standard Class,2/15/2015,2/18/2015,4,3,No late,Advance shipping
60127,Standard Class,5/27/2017,5/30/2017,4,3,No late,Advance shipping
3828,Standard Class,2/25/2015,3/1/2015,4,4,No late,Shipping on time
60386,Standard Class,5/31/2017,6/2/2017,4,2,No late,Advance shipping
973,Standard Class,1/15/2015,1/19/2015,4,4,No late,Shipping on time
57999,Standard Class,4/26/2017,5/1/2017,4,5,Late,Late delivery
54585,Standard Class,3/7/2017,3/13/2017,4,6,Late,Late delivery
57598,Standard Class,4/20/2017,4/24/2017,4,4,No late,Shipping on time
54274,Standard Class,3/3/2017,3/8/2017,4,5,Late,Late delivery
60673,Standard Class,6/4/2017,6/8/2017,4,4,No late,Shipping on time
59387,Standard Class,5/16/2017,5/19/2017,4,3,No late,Advance shipping
10007,Standard Class,5/27/2015,5/30/2015,4,3,No late,Advance shipping
55984,Standard Class,3/28/2017,4/2/2017,4,5,Late,Late delivery
58375,Standard Class,5/2/2017,5/8/2017,4,6,Late,Late delivery
56448,Standard Class,4/3/2017,4/7/2017,4,4,No late,Shipping on time
8221,Standard Class,4/30/2015,5/2/2015,4,2,No late,Advance shipping
58034,Standard Class,4/27/2017,5/2/2017,4,5,Late,Late delivery
2203,Standard Class,2/2/2015,2/6/2015,4,4,No late,Shipping on time
53069,Standard Class,2/13/2017,2/18/2017,4,5,Late,Late delivery
60146,Standard Class,5/27/2017,5/29/2017,4,2,No late,Advance shipping
55409,Standard Class,3/19/2017,3/24/2017,4,5,Late,Late delivery
8678,Standard Class,5/7/2015,5/11/2015,4,4,No late,Shipping on time
7980,Standard Class,4/27/2015,5/3/2015,4,6,Late,Late delivery
57185,Standard Class,4/14/2017,4/20/2017,4,6,Late,Late delivery
8636,Standard Class,5/7/2015,5/9/2015,4,2,No late,Advance shipping
61192,Standard Class,6/12/2017,6/15/2017,4,3,No late,Advance shipping
55876,Standard Class,3/26/2017,3/28/2017,4,2,No late,Advance shipping
53331,Standard Class,2/17/2017,2/19/2017,4,2,No late,Advance shipping
51725,Standard Class,1/25/2017,1/31/2017,4,6,Late,Late delivery
52562,Standard Class,2/6/2017,2/9/2017,4,3,No late,Advance shipping
59754,Standard Class,5/22/2017,5/27/2017,4,5,Late,Late delivery
53574,Standard Class,2/21/2017,2/26/2017,4,5,Late,Late delivery
399,Standard Class,1/6/2015,1/11/2015,4,5,Late,Late delivery
51050,Second Class,1/15/2017,1/21/2017,2,6,Late,Late delivery
45680,Second Class,10/28/2016,11/3/2016,2,6,Late,Late delivery
42992,Second Class,9/19/2016,9/22/2016,2,3,Late,Late delivery
41304,Second Class,8/25/2016,8/30/2016,2,5,Late,Late delivery
44253,Second Class,10/7/2016,10/11/2016,2,4,Late,Late delivery
46098,Second Class,11/3/2016,11/7/2016,2,4,Late,Late delivery
71077,Second Class,11/3/2017,11/6/2017,2,3,Late,Late delivery
69703,Second Class,10/14/2017,10/18/2017,2,4,Late,Late delivery
71112,Second Class,11/4/2017,11/7/2017,2,3,Late,Late delivery
69810,Second Class,10/16/2017,10/22/2017,2,6,Late,Late delivery
71092,Second Class,11/3/2017,11/6/2017,2,3,Late,Late delivery
69610,Second Class,10/13/2017,10/19/2017,2,6,Late,Late delivery
71000,Second Class,11/2/2017,11/8/2017,2,6,Late,Late delivery
70734,Second Class,10/29/2017,11/3/2017,2,5,Late,Late delivery
69626,Second Class,10/13/2017,10/15/2017,2,2,No late,Shipping on time
69482,Second Class,10/11/2017,10/14/2017,2,3,Late,Late delivery
70769,Second Class,10/30/2017,11/4/2017,2,5,Late,Late delivery
69643,Second Class,10/13/2017,10/17/2017,2,4,Late,Late delivery
71051,Second Class,11/3/2017,11/5/2017,2,2,No late,Shipping on time
69408,Second Class,10/10/2017,10/14/2017,2,4,Late,Late delivery
71123,Second Class,11/4/2017,11/8/2017,2,4,Late,Late delivery
70534,Second Class,10/26/2017,10/31/2017,2,5,Late,Late delivery
69641,Second Class,10/13/2017,10/15/2017,2,2,No late,Shipping on time
70960,Second Class,11/1/2017,11/7/2017,2,6,Late,Late delivery
69908,Second Class,10/17/2017,10/21/2017,2,4,Late,Late delivery
70957,Second Class,11/1/2017,11/4/2017,2,3,Late,Late delivery
69637,Second Class,10/13/2017,10/16/2017,2,3,Late,Late delivery
70955,Second Class,11/1/2017,11/7/2017,2,6,Late,Late delivery
70919,Second Class,11/1/2017,11/6/2017,2,5,Late,Late delivery
71009,Second Class,11/2/2017,11/7/2017,2,5,Late,Late delivery
69653,Second Class,10/13/2017,10/17/2017,2,4,Late,Late delivery
69527,Second Class,10/11/2017,10/14/2017,2,3,Late,Late delivery
71080,Second Class,11/3/2017,11/9/2017,2,6,Late,Late delivery
70544,Second Class,10/26/2017,10/31/2017,2,5,Late,Late delivery
69471,Second Class,10/11/2017,10/13/2017,2,2,No late,Shipping on time
68879,Second Class,10/2/2017,10/7/2017,2,5,Late,Late delivery
67214,Second Class,9/8/2017,9/13/2017,2,5,Late,Late delivery
17810,Second Class,9/17/2015,9/23/2015,2,6,Late,Late delivery
18793,Second Class,10/2/2015,10/6/2015,2,4,Late,Late delivery
65109,Second Class,8/8/2017,8/13/2017,2,5,Late,Late delivery
15673,Second Class,8/17/2015,8/21/2015,2,4,Late,Late delivery
18183,Second Class,9/23/2015,9/27/2015,2,4,Late,Late delivery
20234,Second Class,10/23/2015,10/28/2015,2,5,Late,Late delivery
13139,Second Class,7/11/2015,7/16/2015,2,5,Late,Late delivery
33824,Standard Class,5/8/2016,5/13/2016,4,5,No late,Shipping canceled
31364,Standard Class,4/2/2016,4/7/2016,4,5,No late,Shipping canceled
40495,Standard Class,8/14/2016,8/20/2016,4,6,No late,Shipping canceled
34506,Standard Class,5/18/2016,5/20/2016,4,2,No late,Shipping canceled
33607,Standard Class,5/5/2016,5/8/2016,4,3,No late,Shipping canceled
32617,Standard Class,4/21/2016,4/24/2016,4,3,No late,Shipping canceled
37496,Standard Class,7/1/2016,7/3/2016,4,2,No late,Shipping canceled
49075,Standard Class,12/17/2016,12/23/2016,4,6,No late,Shipping canceled
41623,Standard Class,8/30/2016,9/3/2016,4,4,No late,Shipping canceled
39271,Standard Class,7/27/2016,7/29/2016,4,2,No late,Shipping canceled
38598,Standard Class,7/17/2016,7/21/2016,4,4,No late,Shipping canceled
37845,Standard Class,7/6/2016,7/12/2016,4,6,No late,Shipping canceled
42331,Standard Class,9/9/2016,9/11/2016,4,2,No late,Shipping canceled
41345,Standard Class,8/26/2016,9/1/2016,4,6,No late,Shipping canceled
51168,Standard Class,1/16/2017,1/20/2017,4,4,No late,Shipping canceled
43599,Standard Class,9/28/2016,10/3/2016,4,5,No late,Shipping canceled
41901,Standard Class,9/3/2016,9/5/2016,4,2,No late,Shipping canceled
42751,Standard Class,9/16/2016,9/18/2016,4,2,No late,Advance shipping
45088,Standard Class,10/20/2016,10/24/2016,4,4,No late,Shipping on time
50489,Standard Class,1/7/2017,1/12/2017,4,5,Late,Late delivery
44409,Standard Class,10/10/2016,10/15/2016,4,5,Late,Late delivery
42101,Standard Class,9/6/2016,9/8/2016,4,2,No late,Advance shipping
50424,Standard Class,1/6/2017,1/11/2017,4,5,Late,Late delivery
49825,Standard Class,12/28/2016,1/3/2017,4,6,Late,Late delivery
41294,Standard Class,8/25/2016,8/30/2016,4,5,Late,Late delivery
42023,Standard Class,9/5/2016,9/9/2016,4,4,No late,Shipping on time
47774,Standard Class,11/28/2016,12/3/2016,4,5,Late,Late delivery
41827,Standard Class,9/2/2016,9/5/2016,4,3,No late,Advance shipping
47193,Standard Class,11/19/2016,11/23/2016,4,4,No late,Shipping on time
42626,Standard Class,9/14/2016,9/16/2016,4,2,No late,Advance shipping
46199,Standard Class,11/5/2016,11/10/2016,4,5,Late,Late delivery
48468,Standard Class,12/8/2016,12/12/2016,4,4,No late,Shipping on time
51009,Standard Class,1/14/2017,1/19/2017,4,5,Late,Late delivery
46229,Standard Class,11/5/2016,11/10/2016,4,5,Late,Late delivery
42882,Standard Class,9/17/2016,9/20/2016,4,3,No late,Advance shipping
46827,Standard Class,11/14/2016,11/17/2016,4,3,No late,Advance shipping
48684,Standard Class,12/11/2016,12/16/2016,4,5,Late,Late delivery
46416,Standard Class,11/8/2016,11/10/2016,4,2,No late,Advance shipping
47343,Standard Class,11/22/2016,11/26/2016,4,4,No late,Shipping on time
41686,Standard Class,8/31/2016,9/2/2016,4,2,No late,Advance shipping
41896,Standard Class,9/3/2016,9/5/2016,4,2,No late,Advance shipping
28168,Standard Class,2/16/2016,2/20/2016,4,4,No late,Shipping on time
24992,Standard Class,12/31/2015,1/3/2016,4,3,No late,Advance shipping
30851,Standard Class,3/26/2016,3/28/2016,4,2,No late,Advance shipping
25074,Standard Class,1/2/2016,1/7/2016,4,5,Late,Late delivery
25163,Standard Class,1/3/2016,1/7/2016,4,4,No late,Shipping on time
28036,Standard Class,2/14/2016,2/16/2016,4,2,No late,Advance shipping
22679,Standard Class,11/28/2015,12/3/2015,4,5,Late,Late delivery
23610,Standard Class,12/11/2015,12/17/2015,4,6,Late,Late delivery
42828,Standard Class,9/17/2016,9/21/2016,4,4,No late,Shipping on time
48713,Standard Class,12/12/2016,12/16/2016,4,4,No late,Shipping on time
45668,Standard Class,10/28/2016,11/1/2016,4,4,No late,Shipping on time
74796,Standard Class,12/27/2017,12/29/2017,4,2,No late,Advance shipping
27918,Standard Class,2/12/2016,2/16/2016,4,4,No late,Shipping on time
30097,Standard Class,3/15/2016,3/18/2016,4,3,No late,Advance shipping
30966,Standard Class,3/28/2016,3/30/2016,4,2,No late,Advance shipping
30063,Standard Class,3/14/2016,3/18/2016,4,4,No late,Shipping on time
22019,Standard Class,11/18/2015,11/23/2015,4,5,Late,Late delivery
24230,Standard Class,12/20/2015,12/26/2015,4,6,Late,Late delivery
42353,Standard Class,9/10/2016,9/14/2016,4,4,No late,Shipping on time
42134,Standard Class,9/7/2016,9/12/2016,4,5,Late,Late delivery
21522,Standard Class,11/11/2015,11/14/2015,4,3,No late,Advance shipping
23767,Standard Class,12/13/2015,12/16/2015,4,3,No late,Advance shipping
25433,Standard Class,1/7/2016,1/11/2016,4,4,No late,Shipping on time
73893,Standard Class,12/14/2017,12/18/2017,4,4,No late,Shipping on time
30085,Standard Class,3/15/2016,3/21/2016,4,6,Late,Late delivery
30172,Standard Class,3/16/2016,3/19/2016,4,3,No late,Advance shipping
27478,Standard Class,2/6/2016,2/10/2016,4,4,No late,Shipping on time
24063,Standard Class,12/18/2015,12/22/2015,4,4,No late,Shipping on time
51209,Standard Class,1/17/2017,1/22/2017,4,5,Late,Late delivery
73839,Standard Class,12/13/2017,12/18/2017,4,5,Late,Late delivery
74723,Standard Class,12/26/2017,12/30/2017,4,4,No late,Shipping on time
26821,Standard Class,1/27/2016,1/29/2016,4,2,No late,Advance shipping
41608,Standard Class,8/30/2016,9/3/2016,4,4,No late,Shipping on time
47009,Standard Class,11/17/2016,11/22/2016,4,5,Late,Late delivery
49916,Standard Class,12/29/2016,12/31/2016,4,2,No late,Advance shipping
29746,Standard Class,3/10/2016,3/12/2016,4,2,No late,Advance shipping
72533,Standard Class,11/24/2017,11/28/2017,4,4,No late,Shipping on time
48608,Standard Class,12/10/2016,12/14/2016,4,4,No late,Shipping on time
45506,Standard Class,10/26/2016,10/28/2016,4,2,No late,Advance shipping
45027,Standard Class,10/19/2016,10/22/2016,4,3,No late,Advance shipping
46308,Standard Class,11/6/2016,11/10/2016,4,4,No late,Shipping on time
43685,Standard Class,9/29/2016,10/5/2016,4,6,Late,Late delivery
41893,Standard Class,9/3/2016,9/7/2016,4,4,No late,Shipping on time
46339,Standard Class,11/7/2016,11/12/2016,4,5,Late,Late delivery
46667,Standard Class,11/12/2016,11/15/2016,4,3,No late,Advance shipping
47647,Standard Class,11/26/2016,11/29/2016,4,3,No late,Advance shipping
48565,Standard Class,12/9/2016,12/15/2016,4,6,Late,Late delivery
43889,Standard Class,10/2/2016,10/7/2016,4,5,Late,Late delivery
45138,Standard Class,10/20/2016,10/24/2016,4,4,No late,Shipping on time
44160,Standard Class,10/6/2016,10/12/2016,4,6,Late,Late delivery
49214,Standard Class,12/19/2016,12/24/2016,4,5,Late,Late delivery
41825,Standard Class,9/2/2016,9/8/2016,4,6,Late,Late delivery
44504,Standard Class,10/11/2016,10/16/2016,4,5,Late,Late delivery
44496,Standard Class,10/11/2016,10/13/2016,4,2,No late,Advance shipping
45559,Standard Class,10/27/2016,11/1/2016,4,5,Late,Late delivery
44074,Standard Class,10/5/2016,10/10/2016,4,5,Late,Late delivery
49857,Standard Class,12/28/2016,12/31/2016,4,3,No late,Advance shipping
41786,Standard Class,9/1/2016,9/3/2016,4,2,No late,Advance shipping
48042,Standard Class,12/2/2016,12/5/2016,4,3,No late,Advance shipping
44301,Standard Class,10/8/2016,10/10/2016,4,2,No late,Advance shipping
41591,Standard Class,8/30/2016,9/1/2016,4,2,No late,Advance shipping
44981,Standard Class,10/18/2016,10/20/2016,4,2,No late,Advance shipping
41545,Standard Class,8/29/2016,9/4/2016,4,6,Late,Late delivery
49910,Standard Class,12/29/2016,1/4/2017,4,6,Late,Late delivery
19590,Standard Class,10/13/2015,10/19/2015,4,6,Late,Late delivery
43650,Standard Class,9/29/2016,10/5/2016,4,6,Late,Late delivery
15202,Standard Class,8/10/2015,8/13/2015,4,3,No late,Advance shipping
15462,Standard Class,8/14/2015,8/17/2015,4,3,No late,Advance shipping
15155,Standard Class,8/10/2015,8/16/2015,4,6,Late,Late delivery
64451,Standard Class,7/29/2017,7/31/2017,4,2,No late,Advance shipping
67028,Standard Class,9/5/2017,9/9/2017,4,4,No late,Shipping on time
62336,Standard Class,6/28/2017,6/30/2017,4,2,No late,Advance shipping
11334,Standard Class,6/15/2015,6/20/2015,4,5,Late,Late delivery
62885,Standard Class,7/6/2017,7/12/2017,4,6,Late,Late delivery
66998,Standard Class,9/5/2017,9/9/2017,4,4,No late,Shipping on time
47002,Standard Class,11/17/2016,11/20/2016,4,3,No late,Advance shipping
63445,Standard Class,7/15/2017,7/21/2017,4,6,Late,Late delivery
67566,Standard Class,9/13/2017,9/15/2017,4,2,No late,Advance shipping
18884,Standard Class,10/3/2015,10/8/2015,4,5,Late,Late delivery
18845,Standard Class,10/3/2015,10/9/2015,4,6,Late,Late delivery
66854,Standard Class,9/2/2017,9/7/2017,4,5,Late,Late delivery
46955,Standard Class,11/16/2016,11/22/2016,4,6,Late,Late delivery
55002,Standard Class,3/13/2017,3/16/2017,4,3,No late,Advance shipping
60445,Standard Class,6/1/2017,6/7/2017,4,6,Late,Late delivery
53586,Standard Class,2/21/2017,2/23/2017,4,2,No late,Advance shipping
56618,Standard Class,4/6/2017,4/10/2017,4,4,No late,Shipping on time
51865,Standard Class,1/27/2017,2/2/2017,4,6,Late,Late delivery
2937,Standard Class,2/12/2015,2/15/2015,4,3,No late,Advance shipping
54446,Standard Class,3/5/2017,3/7/2017,4,2,No late,Advance shipping
58623,Standard Class,5/5/2017,5/9/2017,4,4,No late,Shipping on time
7411,Standard Class,4/19/2015,4/21/2015,4,2,No late,Advance shipping
5348,Standard Class,3/20/2015,3/24/2015,4,4,No late,Shipping on time
59742,Standard Class,5/22/2017,5/25/2017,4,3,No late,Advance shipping
59498,Standard Class,5/18/2017,5/22/2017,4,4,No late,Shipping on time
3459,Standard Class,2/20/2015,2/25/2015,4,5,Late,Late delivery
8470,Standard Class,5/4/2015,5/10/2015,4,6,Late,Late delivery
53455,Standard Class,2/19/2017,2/25/2017,4,6,Late,Late delivery
2014,Standard Class,1/30/2015,2/4/2015,4,5,Late,Late delivery
55899,Standard Class,3/26/2017,3/31/2017,4,5,Late,Late delivery
52582,Standard Class,2/6/2017,2/9/2017,4,3,No late,Advance shipping
56222,Standard Class,3/31/2017,4/3/2017,4,3,No late,Advance shipping
57829,Standard Class,4/24/2017,4/29/2017,4,5,Late,Late delivery
56217,Standard Class,3/31/2017,4/3/2017,4,3,No late,Advance shipping
5893,Standard Class,3/28/2015,4/1/2015,4,4,No late,Shipping on time
5528,Standard Class,3/22/2015,3/26/2015,4,4,No late,Shipping on time
367,Standard Class,1/6/2015,1/9/2015,4,3,No late,Advance shipping
52353,Standard Class,2/3/2017,2/7/2017,4,4,No late,Shipping on time
1784,Standard Class,1/27/2015,2/1/2015,4,5,Late,Late delivery
60317,Standard Class,5/30/2017,6/2/2017,4,3,No late,Advance shipping
6776,Standard Class,4/9/2015,4/11/2015,4,2,No late,Advance shipping
4487,Standard Class,3/7/2015,3/10/2015,4,3,No late,Advance shipping
9681,Standard Class,5/22/2015,5/24/2015,4,2,No late,Advance shipping
60868,Standard Class,6/7/2017,6/11/2017,4,4,No late,Shipping on time
53231,Standard Class,2/16/2017,2/18/2017,4,2,No late,Advance shipping
52601,Standard Class,2/6/2017,2/8/2017,4,2,No late,Advance shipping
4660,Standard Class,3/10/2015,3/16/2015,4,6,Late,Late delivery
3539,Standard Class,2/21/2015,2/26/2015,4,5,Late,Late delivery
54488,Standard Class,3/6/2017,3/10/2017,4,4,No late,Shipping on time
52549,Standard Class,2/6/2017,2/11/2017,4,5,Late,Late delivery
60361,Standard Class,5/31/2017,6/2/2017,4,2,No late,Advance shipping
5712,Standard Class,3/25/2015,3/28/2015,4,3,No late,Advance shipping
9309,Standard Class,5/16/2015,5/21/2015,4,5,Late,Late delivery
8095,Standard Class,4/29/2015,5/5/2015,4,6,Late,Late delivery
3130,Second Class,2/15/2015,2/21/2015,2,6,Late,Late delivery
49521,Second Class,12/23/2016,12/25/2016,2,2,No late,Shipping on time
30305,Second Class,3/18/2016,3/24/2016,2,6,Late,Late delivery
27772,Second Class,2/10/2016,2/13/2016,2,3,Late,Late delivery
31296,Second Class,4/1/2016,4/3/2016,2,2,No late,Shipping on time
22076,Second Class,11/19/2015,11/21/2015,2,2,No late,Shipping on time
25665,Second Class,1/10/2016,1/16/2016,2,6,Late,Late delivery
22819,Second Class,11/30/2015,12/5/2015,2,5,Late,Late delivery
27099,Second Class,1/31/2016,2/5/2016,2,5,Late,Late delivery
28292,Second Class,2/17/2016,2/20/2016,2,3,Late,Late delivery
39159,Second Class,7/25/2016,7/30/2016,2,5,Late,Late delivery
34631,Second Class,5/20/2016,5/22/2016,2,2,No late,Shipping on time
37669,Second Class,7/3/2016,7/8/2016,2,5,Late,Late delivery
40085,Second Class,8/8/2016,8/14/2016,2,6,Late,Late delivery
47262,Second Class,11/20/2016,11/23/2016,2,3,Late,Late delivery
44771,Second Class,10/15/2016,10/17/2016,2,2,No late,Shipping on time
13890,Second Class,7/22/2015,7/28/2015,2,6,Late,Late delivery
17071,Second Class,9/7/2015,9/9/2015,2,2,No late,Shipping on time
11321,Second Class,6/15/2015,6/17/2015,2,2,No late,Shipping on time
11936,Second Class,6/24/2015,6/26/2015,2,2,No late,Shipping on time
68337,Second Class,9/24/2017,9/27/2017,2,3,Late,Late delivery
45746,Second Class,10/29/2016,10/31/2016,2,2,No late,Shipping on time
13736,Second Class,7/20/2015,7/22/2015,2,2,No late,Shipping on time
49622,Second Class,12/25/2016,12/28/2016,2,3,Late,Late delivery
19444,Second Class,10/11/2015,10/16/2015,2,5,Late,Late delivery
51911,Second Class,1/27/2017,1/29/2017,2,2,No late,Shipping on time
58239,Second Class,4/30/2017,5/5/2017,2,5,Late,Late delivery
56678,Second Class,4/7/2017,4/11/2017,2,4,Late,Late delivery
53202,Second Class,2/15/2017,2/18/2017,2,3,Late,Late delivery
58738,Second Class,5/7/2017,5/11/2017,2,4,Late,Late delivery
56260,Second Class,4/1/2017,4/7/2017,2,6,Late,Late delivery
5042,Second Class,3/15/2015,3/18/2015,2,3,Late,Late delivery
55511,Second Class,3/21/2017,3/23/2017,2,2,No late,Shipping on time
54128,Second Class,3/1/2017,3/5/2017,2,4,Late,Late delivery
21244,Second Class,11/7/2015,11/12/2015,2,5,Late,Late delivery
31239,Second Class,4/1/2016,4/6/2016,2,5,Late,Late delivery
45772,Second Class,10/30/2016,11/2/2016,2,3,Late,Late delivery
24661,Second Class,12/26/2015,12/28/2015,2,2,No late,Shipping on time
22924,Second Class,12/1/2015,12/6/2015,2,5,Late,Late delivery
21902,Second Class,11/16/2015,11/19/2015,2,3,Late,Late delivery
21534,Second Class,11/11/2015,11/16/2015,2,5,Late,Late delivery
24160,Second Class,12/19/2015,12/25/2015,2,6,Late,Late delivery
32102,Second Class,4/13/2016,4/16/2016,2,3,Late,Late delivery
37763,Second Class,7/5/2016,7/9/2016,2,4,Late,Late delivery
37867,Second Class,7/6/2016,7/9/2016,2,3,Late,Late delivery
31905,Second Class,4/10/2016,4/16/2016,2,6,Late,Late delivery
36269,Second Class,6/13/2016,6/18/2016,2,5,Late,Late delivery
48374,Second Class,12/7/2016,12/12/2016,2,5,Late,Late delivery
17719,Second Class,9/16/2015,9/21/2015,2,5,Late,Late delivery
15766,Second Class,8/19/2015,8/21/2015,2,2,No late,Shipping on time
12179,Second Class,6/27/2015,7/2/2015,2,5,Late,Late delivery
66275,Second Class,8/25/2017,8/31/2017,2,6,Late,Late delivery
13140,Second Class,7/11/2015,7/17/2015,2,6,Late,Late delivery
16444,Second Class,8/29/2015,9/3/2015,2,5,Late,Late delivery
14454,Second Class,7/30/2015,8/4/2015,2,5,Late,Late delivery
67979,Second Class,9/19/2017,9/24/2017,2,5,Late,Late delivery
65264,Second Class,8/10/2017,8/15/2017,2,5,Late,Late delivery
51226,Second Class,1/17/2017,1/19/2017,2,2,No late,Shipping on time
52576,Second Class,2/6/2017,2/8/2017,2,2,No late,Shipping on time
67753,Second Class,9/16/2017,9/20/2017,2,4,Late,Late delivery
15421,Second Class,8/14/2015,8/16/2015,2,2,No late,Shipping on time
13225,Second Class,7/13/2015,7/19/2015,2,6,Late,Late delivery
71362,Second Class,11/7/2017,11/10/2017,2,3,Late,Late delivery
13232,Second Class,7/13/2015,7/16/2015,2,3,Late,Late delivery
65487,Second Class,8/13/2017,8/16/2017,2,3,Late,Late delivery
65105,Second Class,8/8/2017,8/14/2017,2,6,Late,Late delivery
14837,Second Class,8/5/2015,8/8/2015,2,3,Late,Late delivery
46224,Second Class,11/5/2016,11/10/2016,2,5,Late,Late delivery
71217,Second Class,11/5/2017,11/8/2017,2,3,Late,Late delivery
63972,Second Class,7/22/2017,7/25/2017,2,3,Late,Late delivery
19200,Second Class,10/8/2015,10/14/2015,2,6,Late,Late delivery
18009,Second Class,9/20/2015,9/25/2015,2,5,Late,Late delivery
10831,Second Class,6/8/2015,6/10/2015,2,2,No late,Shipping on time
68107,Second Class,9/21/2017,9/24/2017,2,3,Late,Late delivery
71271,Second Class,11/6/2017,11/8/2017,2,2,No late,Shipping on time
16953,Second Class,9/5/2015,9/9/2015,2,4,Late,Late delivery
49664,Second Class,12/25/2016,12/30/2016,2,5,Late,Late delivery
16446,Second Class,8/29/2015,8/31/2015,2,2,No late,Shipping on time
14960,Second Class,8/7/2015,8/13/2015,2,6,Late,Late delivery
18005,Second Class,9/20/2015,9/26/2015,2,6,Late,Late delivery
12804,Second Class,7/6/2015,7/11/2015,2,5,Late,Late delivery
14651,Second Class,8/2/2015,8/4/2015,2,2,No late,Shipping on time
10990,Second Class,6/10/2015,6/16/2015,2,6,Late,Late delivery
65609,Second Class,8/15/2017,8/20/2017,2,5,Late,Late delivery
17878,Second Class,9/18/2015,9/22/2015,2,4,Late,Late delivery
16998,Second Class,9/6/2015,9/10/2015,2,4,Late,Late delivery
13970,Second Class,7/23/2015,7/29/2015,2,6,Late,Late delivery
13614,Second Class,7/18/2015,7/23/2015,2,5,Late,Late delivery
44388,Second Class,10/9/2016,10/13/2016,2,4,Late,Late delivery
13050,Second Class,7/10/2015,7/16/2015,2,6,Late,Late delivery
12613,Second Class,7/4/2015,7/8/2015,2,4,Late,Late delivery
66587,Second Class,8/30/2017,9/2/2017,2,3,Late,Late delivery
62795,Second Class,7/5/2017,7/11/2017,2,6,Late,Late delivery
