Shop_Id,Shop_City,Shop_State,Shop_Region,Shop_Country,Market
1549,Milwaukee,Wisconsin,US Center,Estados Unidos,USCA
1550,Lakeville,Minnesota,US Center,Estados Unidos,USCA
1617,Tyler,Texas,US Center,Estados Unidos,USCA
1620,Portage,Indiana,US Center,Estados Unidos,USCA
1638,Muskogee,Oklahoma,US Center,Estados Unidos,USCA
1642,Olathe,Kansas,US Center,Estados Unidos,USCA
1654,Haltom City,Texas,US Center,Estados Unidos,USCA
1678,Lincoln Park,Michigan,US Center,Estados Unidos,USCA
1679,Oklahoma City,Oklahoma,US Center,Estados Unidos,USCA
1703,El Paso,Texas,US Center,Estados Unidos,USCA
1705,Rochester,Minnesota,US Center,Estados Unidos,USCA
1708,Austin,Texas,US Center,Estados Unidos,USCA
1710,Waco,Texas,US Center,Estados Unidos,USCA
1711,Bolingbrook,Illinois,US Center,Estados Unidos,USCA
1767,Freeport,Illinois,US Center,Estados Unidos,USCA
1821,Edinburg,Texas,US Center,Estados Unidos,USCA
1823,Indianapolis,Indiana,US Center,Estados Unidos,USCA
1825,Grand Prairie,Texas,US Center,Estados Unidos,USCA
1827,Garden City,Kansas,US Center,Estados Unidos,USCA
1828,La Crosse,Wisconsin,US Center,Estados Unidos,USCA
1835,Kenosha,Wisconsin,US Center,Estados Unidos,USCA
1838,Green Bay,Wisconsin,US Center,Estados Unidos,USCA
1839,Naperville,Illinois,US Center,Estados Unidos,USCA
1840,Glenview,Illinois,US Center,Estados Unidos,USCA
1842,Trenton,Michigan,US Center,Estados Unidos,USCA
1844,Plano,Texas,US Center,Estados Unidos,USCA
1849,Bloomington,Illinois,US Center,Estados Unidos,USCA
1854,Texas City,Texas,US Center,Estados Unidos,USCA
1856,Evanston,Illinois,US Center,Estados Unidos,USCA
1862,La Porte,Indiana,US Center,Estados Unidos,USCA
1863,Irving,Texas,US Center,Estados Unidos,USCA
1961,Dearborn,Michigan,US Center,Estados Unidos,USCA
1966,Saginaw,Michigan,US Center,Estados Unidos,USCA
1968,Lubbock,Texas,US Center,Estados Unidos,USCA
1972,Roseville,Minnesota,US Center,Estados Unidos,USCA
1980,Rockford,Illinois,US Center,Estados Unidos,USCA
2009,Carrollton,Texas,US Center,Estados Unidos,USCA
2011,Laredo,Texas,US Center,Estados Unidos,USCA
2012,Mishawaka,Indiana,US Center,Estados Unidos,USCA
2080,Sterling Heights,Michigan,US Center,Estados Unidos,USCA
2172,Mcallen,Texas,US Center,Estados Unidos,USCA
2338,Corpus Christi,Texas,US Center,Estados Unidos,USCA
2340,Normal,Illinois,US Center,Estados Unidos,USCA
2375,Port Arthur,Texas,US Center,Estados Unidos,USCA
2422,Lansing,Michigan,US Center,Estados Unidos,USCA
2454,Beaumont,Texas,US Center,Estados Unidos,USCA
2495,Allen,Texas,US Center,Estados Unidos,USCA
2522,Orland Park,Illinois,US Center,Estados Unidos,USCA
2523,Harlingen,Texas,US Center,Estados Unidos,USCA
2524,Dearborn Heights,Michigan,US Center,Estados Unidos,USCA
2526,Champaign,Illinois,US Center,Estados Unidos,USCA
2597,The Colony,Texas,US Center,Estados Unidos,USCA
2598,Skokie,Illinois,US Center,Estados Unidos,USCA
2600,Norfolk,Nebraska,US Center,Estados Unidos,USCA
2601,League City,Texas,US Center,Estados Unidos,USCA
2603,San Marcos,Texas,US Center,Estados Unidos,USCA
2604,College Station,Texas,US Center,Estados Unidos,USCA
2607,Saint Cloud,Minnesota,US Center,Estados Unidos,USCA
2624,Eagan,Minnesota,US Center,Estados Unidos,USCA
2696,Brownsville,Texas,US Center,Estados Unidos,USCA
2699,Midland,Michigan,US Center,Estados Unidos,USCA
2737,Rapid City,Dakota del Sur,US Center,Estados Unidos,USCA
2775,Maple Grove,Minnesota,US Center,Estados Unidos,USCA
2777,Madison,Wisconsin,US Center,Estados Unidos,USCA
2826,Richardson,Texas,US Center,Estados Unidos,USCA
2915,Urbandale,Iowa,US Center,Estados Unidos,USCA
2917,Highland Park,Illinois,US Center,Estados Unidos,USCA
2921,San Angelo,Texas,US Center,Estados Unidos,USCA
2948,Sheboygan,Wisconsin,US Center,Estados Unidos,USCA
2966,Westland,Michigan,US Center,Estados Unidos,USCA
2967,West Allis,Wisconsin,US Center,Estados Unidos,USCA
2975,Sioux Falls,Dakota del Sur,US Center,Estados Unidos,USCA
3022,Abilene,Texas,US Center,Estados Unidos,USCA
3065,Cottage Grove,Minnesota,US Center,Estados Unidos,USCA
3066,Eau Claire,Wisconsin,US Center,Estados Unidos,USCA
3091,Woodstock,Illinois,US Center,Estados Unidos,USCA
3092,Rochester Hills,Michigan,US Center,Estados Unidos,USCA
3122,Buffalo Grove,Illinois,US Center,Estados Unidos,USCA
3123,Garland,Texas,US Center,Estados Unidos,USCA
3124,Edmond,Oklahoma,US Center,Estados Unidos,USCA
3126,Taylor,Michigan,US Center,Estados Unidos,USCA
3127,Holland,Michigan,US Center,Estados Unidos,USCA
3134,Waukesha,Wisconsin,US Center,Estados Unidos,USCA
3135,Lawton,Oklahoma,US Center,Estados Unidos,USCA
3184,Woodbury,Minnesota,US Center,Estados Unidos,USCA
3267,Fargo,Dakota del Norte,US Center,Estados Unidos,USCA
3285,Dubuque,Iowa,US Center,Estados Unidos,USCA
3288,Bryan,Texas,US Center,Estados Unidos,USCA
3289,Cedar Rapids,Iowa,US Center,Estados Unidos,USCA
3300,Royal Oak,Michigan,US Center,Estados Unidos,USCA
3301,Norman,Oklahoma,US Center,Estados Unidos,USCA
3304,Coppell,Texas,US Center,Estados Unidos,USCA
3329,Greenwood,Indiana,US Center,Estados Unidos,USCA
3330,Grand Island,Nebraska,US Center,Estados Unidos,USCA
3335,Ann Arbor,Michigan,US Center,Estados Unidos,USCA
3371,Arlington Heights,Illinois,US Center,Estados Unidos,USCA
3391,Kirkwood,Misuri,US Center,Estados Unidos,USCA
3393,Carol Stream,Illinois,US Center,Estados Unidos,USCA
3394,Tinley Park,Illinois,US Center,Estados Unidos,USCA
3395,Conroe,Texas,US Center,Estados Unidos,USCA
3397,Missouri City,Texas,US Center,Estados Unidos,USCA
3401,South Bend,Indiana,US Center,Estados Unidos,USCA
3402,Appleton,Wisconsin,US Center,Estados Unidos,USCA
3443,Park Ridge,Illinois,US Center,Estados Unidos,USCA
3444,Canton,Michigan,US Center,Estados Unidos,USCA
3446,Romeoville,Illinois,US Center,Estados Unidos,USCA
3447,Independence,Misuri,US Center,Estados Unidos,USCA
3483,Cedar Hill,Texas,US Center,Estados Unidos,USCA
3484,Moorhead,Minnesota,US Center,Estados Unidos,USCA
3486,New Castle,Indiana,US Center,Estados Unidos,USCA
3487,Grapevine,Texas,US Center,Estados Unidos,USCA
3528,Deer Park,Texas,US Center,Estados Unidos,USCA
3538,Coon Rapids,Minnesota,US Center,Estados Unidos,USCA
3548,Pearland,Texas,US Center,Estados Unidos,USCA
3549,Saint Peters,Misuri,US Center,Estados Unidos,USCA
3568,Elkhart,Indiana,US Center,Estados Unidos,USCA
252,Monroe,Carolina del Norte,South of  USA,Estados Unidos,USCA
270,Jacksonville,Florida,South of  USA,Estados Unidos,USCA
830,Asheville,Carolina del Norte,South of  USA,Estados Unidos,USCA
833,Springfield,Virginia,South of  USA,Estados Unidos,USCA
844,Charlotte,Carolina del Norte,South of  USA,Estados Unidos,USCA
846,Newport News,Virginia,South of  USA,Estados Unidos,USCA
975,Huntsville,Alabama,South of  USA,Estados Unidos,USCA
977,Memphis,Tennessee,South of  USA,Estados Unidos,USCA
978,Fayetteville,Arkansas,South of  USA,Estados Unidos,USCA
979,Richmond,Virginia,South of  USA,Estados Unidos,USCA
980,Lakeland,Florida,South of  USA,Estados Unidos,USCA
984,Louisville,Kentucky,South of  USA,Estados Unidos,USCA
988,Atlanta,Georgia,South of  USA,Estados Unidos,USCA
996,Tampa,Florida,South of  USA,Estados Unidos,USCA
998,Tallahassee,Florida,South of  USA,Estados Unidos,USCA
1000,Port Saint Lucie,Florida,South of  USA,Estados Unidos,USCA
1065,Clarksville,Tennessee,South of  USA,Estados Unidos,USCA
1071,Little Rock,Arkansas,South of  USA,Estados Unidos,USCA
1074,Chesapeake,Virginia,South of  USA,Estados Unidos,USCA
1077,Southaven,Misisipi,South of  USA,Estados Unidos,USCA
1081,Harrisonburg,Virginia,South of  USA,Estados Unidos,USCA
1301,Smyrna,Tennessee,South of  USA,Estados Unidos,USCA
1308,Franklin,Tennessee,South of  USA,Estados Unidos,USCA
1317,Raleigh,Carolina del Norte,South of  USA,Estados Unidos,USCA
1361,Salem,Virginia,South of  USA,Estados Unidos,USCA
1530,Wilson,Carolina del Norte,South of  USA,Estados Unidos,USCA
1538,Fort Lauderdale,Florida,South of  USA,Estados Unidos,USCA
1543,Nashville,Tennessee,South of  USA,Estados Unidos,USCA
1544,Marietta,Georgia,South of  USA,Estados Unidos,USCA
1545,Miami,Florida,South of  USA,Estados Unidos,USCA
1551,Durham,Carolina del Norte,South of  USA,Estados Unidos,USCA
1618,Jonesboro,Arkansas,South of  USA,Estados Unidos,USCA
1639,Murfreesboro,Tennessee,South of  USA,Estados Unidos,USCA
1640,Mobile,Alabama,South of  USA,Estados Unidos,USCA
1643,Lafayette,Luisiana,South of  USA,Estados Unidos,USCA
1647,Hollywood,Florida,South of  USA,Estados Unidos,USCA
1651,East Point,Georgia,South of  USA,Estados Unidos,USCA
1680,Orlando,Florida,South of  USA,Estados Unidos,USCA
1702,Conway,Arkansas,South of  USA,Estados Unidos,USCA
1713,Apopka,Florida,South of  USA,Estados Unidos,USCA
1714,Pembroke Pines,Florida,South of  USA,Estados Unidos,USCA
1734,Bowling Green,Kentucky,South of  USA,Estados Unidos,USCA
1744,Sandy Springs,Georgia,South of  USA,Estados Unidos,USCA
1764,Palm Coast,Florida,South of  USA,Estados Unidos,USCA
1766,Waynesboro,Virginia,South of  USA,Estados Unidos,USCA
1769,Bristol,Tennessee,South of  USA,Estados Unidos,USCA
1830,Chattanooga,Tennessee,South of  USA,Estados Unidos,USCA
1847,Bossier City,Luisiana,South of  USA,Estados Unidos,USCA
1851,Burlington,Carolina del Norte,South of  USA,Estados Unidos,USCA
1858,Pensacola,Florida,South of  USA,Estados Unidos,USCA
1861,Boynton Beach,Florida,South of  USA,Estados Unidos,USCA
1864,Athens,Georgia,South of  USA,Estados Unidos,USCA
1965,Gastonia,Carolina del Norte,South of  USA,Estados Unidos,USCA
1971,Montgomery,Alabama,South of  USA,Estados Unidos,USCA
1973,Suffolk,Virginia,South of  USA,Estados Unidos,USCA
2010,Pine Bluff,Arkansas,South of  USA,Estados Unidos,USCA
2056,Hendersonville,Tennessee,South of  USA,Estados Unidos,USCA
2058,Hickory,Carolina del Norte,South of  USA,Estados Unidos,USCA
2061,Knoxville,Tennessee,South of  USA,Estados Unidos,USCA
2081,Hialeah,Florida,South of  USA,Estados Unidos,USCA
2106,Johnson City,Tennessee,South of  USA,Estados Unidos,USCA
2108,Lake Charles,Luisiana,South of  USA,Estados Unidos,USCA
2176,Greensboro,Carolina del Norte,South of  USA,Estados Unidos,USCA
2279,Jupiter,Florida,South of  USA,Estados Unidos,USCA
2280,Coral Springs,Florida,South of  USA,Estados Unidos,USCA
2281,Georgetown,Kentucky,South of  USA,Estados Unidos,USCA
2307,Concord,Carolina del Norte,South of  USA,Estados Unidos,USCA
2334,Plantation,Florida,South of  USA,Estados Unidos,USCA
2336,Hattiesburg,Misisipi,South of  USA,Estados Unidos,USCA
2345,Margate,Florida,South of  USA,Estados Unidos,USCA
2415,Daytona Beach,Florida,South of  USA,Estados Unidos,USCA
2417,Virginia Beach,Virginia,South of  USA,Estados Unidos,USCA
2428,Greenville,Carolina del Norte,South of  USA,Estados Unidos,USCA
2456,Charlottesville,Virginia,South of  USA,Estados Unidos,USCA
2521,Roswell,Georgia,South of  USA,Estados Unidos,USCA
2555,Hoover,Alabama,South of  USA,Estados Unidos,USCA
2596,Tamarac,Florida,South of  USA,Estados Unidos,USCA
2661,Hampton,Virginia,South of  USA,Estados Unidos,USCA
2746,Thomasville,Carolina del Norte,South of  USA,Estados Unidos,USCA
2829,Warner Robins,Georgia,South of  USA,Estados Unidos,USCA
2841,Springdale,Arkansas,South of  USA,Estados Unidos,USCA
2842,Sanford,Florida,South of  USA,Estados Unidos,USCA
2913,Pompano Beach,Florida,South of  USA,Estados Unidos,USCA
2914,Owensboro,Kentucky,South of  USA,Estados Unidos,USCA
2925,Kenner,Luisiana,South of  USA,Estados Unidos,USCA
2964,Mount Pleasant,Carolina del Sur,South of  USA,Estados Unidos,USCA
2968,Cary,Carolina del Norte,South of  USA,Estados Unidos,USCA
2977,Líbano,Tennessee,South of  USA,Estados Unidos,USCA
2978,Summerville,Carolina del Sur,South of  USA,Estados Unidos,USCA
3075,Macon,Georgia,South of  USA,Estados Unidos,USCA
3077,West Palm Beach,Florida,South of  USA,Estados Unidos,USCA
3090,Hot Springs,Arkansas,South of  USA,Estados Unidos,USCA
3116,Tuscaloosa,Alabama,South of  USA,Estados Unidos,USCA
3118,Gulfport,Misisipi,South of  USA,Estados Unidos,USCA
3153,Boca Raton,Florida,South of  USA,Estados Unidos,USCA
3246,Delray Beach,Florida,South of  USA,Estados Unidos,USCA
3292,Saint Petersburg,Florida,South of  USA,Estados Unidos,USCA
3293,Homestead,Florida,South of  USA,Estados Unidos,USCA
3305,Rock Hill,Carolina del Sur,South of  USA,Estados Unidos,USCA
3373,North Miami,Florida,South of  USA,Estados Unidos,USCA
3388,North Charleston,Carolina del Sur,South of  USA,Estados Unidos,USCA
3392,Deltona,Florida,South of  USA,Estados Unidos,USCA
3450,Ormond Beach,Florida,South of  USA,Estados Unidos,USCA
3537,Texarkana,Arkansas,South of  USA,Estados Unidos,USCA
3553,Kissimmee,Florida,South of  USA,Estados Unidos,USCA
119,Cincinnati,Ohio,East of USA,Estados Unidos,USCA
123,Philadelphia,Pensilvania,East of USA,Estados Unidos,USCA
251,New York City,Nueva York,East of USA,Estados Unidos,USCA
825,Clinton,Maryland,East of USA,Estados Unidos,USCA
831,Lowell,Massachusetts,East of USA,Estados Unidos,USCA
832,Akron,Ohio,East of USA,Estados Unidos,USCA
847,Oceanside,Nueva York,East of USA,Estados Unidos,USCA
851,Baltimore,Maryland,East of USA,Estados Unidos,USCA
856,Waterbury,Connecticut,East of USA,Estados Unidos,USCA
976,Newark,Delaware,East of USA,Estados Unidos,USCA
981,Auburn,Nueva York,East of USA,Estados Unidos,USCA
983,Hempstead,Nueva York,East of USA,Estados Unidos,USCA
987,Columbia,Maryland,East of USA,Estados Unidos,USCA
994,Buffalo,Nueva York,East of USA,Estados Unidos,USCA
999,Lewiston,Maine,East of USA,Estados Unidos,USCA
1002,Lawrence,Massachusetts,East of USA,Estados Unidos,USCA
1067,Lakewood,Nueva Jersey,East of USA,Estados Unidos,USCA
1068,Wheeling,Virginia Occidental,East of USA,Estados Unidos,USCA
1069,Chester,Pensilvania,East of USA,Estados Unidos,USCA
1072,Wilmington,Delaware,East of USA,Estados Unidos,USCA
1540,Kent,Ohio,East of USA,Estados Unidos,USCA
1541,Bangor,Maine,East of USA,Estados Unidos,USCA
1542,Morristown,Nueva Jersey,East of USA,Estados Unidos,USCA
1641,Westfield,Nueva Jersey,East of USA,Estados Unidos,USCA
1645,Paterson,Nueva Jersey,East of USA,Estados Unidos,USCA
1646,Long Beach,Nueva York,East of USA,Estados Unidos,USCA
1653,Lancaster,Ohio,East of USA,Estados Unidos,USCA
1688,Troy,Ohio,East of USA,Estados Unidos,USCA
1704,Providence,Rhode Island,East of USA,Estados Unidos,USCA
1707,Leominster,Massachusetts,East of USA,Estados Unidos,USCA
1824,Allentown,Pensilvania,East of USA,Estados Unidos,USCA
1826,New Bedford,Massachusetts,East of USA,Estados Unidos,USCA
1832,Dover,Nuevo Hampshire,East of USA,Estados Unidos,USCA
1833,Mount Vernon,Nueva York,East of USA,Estados Unidos,USCA
1836,Cleveland,Ohio,East of USA,Estados Unidos,USCA
1841,Watertown,Nueva York,East of USA,Estados Unidos,USCA
1850,Hackensack,Nueva Jersey,East of USA,Estados Unidos,USCA
1852,Toledo,Ohio,East of USA,Estados Unidos,USCA
1855,Middletown,Connecticut,East of USA,Estados Unidos,USCA
1860,Plainfield,Nueva Jersey,East of USA,Estados Unidos,USCA
1962,York,Pensilvania,East of USA,Estados Unidos,USCA
1967,Lorain,Ohio,East of USA,Estados Unidos,USCA
1970,Yonkers,Nueva York,East of USA,Estados Unidos,USCA
1975,Utica,Nueva York,East of USA,Estados Unidos,USCA
1977,Washington,Distrito de Columbia,East of USA,Estados Unidos,USCA
1978,Bridgeton,Nueva Jersey,East of USA,Estados Unidos,USCA
1981,Malden,Massachusetts,East of USA,Estados Unidos,USCA
2141,Gaithersburg,Maryland,East of USA,Estados Unidos,USCA
2143,Vineland,Nueva Jersey,East of USA,Estados Unidos,USCA
2278,Marion,Ohio,East of USA,Estados Unidos,USCA
2346,Beverly,Massachusetts,East of USA,Estados Unidos,USCA
2347,New Rochelle,Nueva York,East of USA,Estados Unidos,USCA
2471,Passaic,Nueva Jersey,East of USA,Estados Unidos,USCA
2520,Cuyahoga Falls,Ohio,East of USA,Estados Unidos,USCA
2602,Meriden,Connecticut,East of USA,Estados Unidos,USCA
2652,Grove City,Ohio,East of USA,Estados Unidos,USCA
2654,Rockville,Maryland,East of USA,Estados Unidos,USCA
2697,Shelton,Connecticut,East of USA,Estados Unidos,USCA
2698,Bethlehem,Pensilvania,East of USA,Estados Unidos,USCA
2708,Atlantic City,Nueva Jersey,East of USA,Estados Unidos,USCA
2731,Cranston,Rhode Island,East of USA,Estados Unidos,USCA
2732,Niagara Falls,Nueva York,East of USA,Estados Unidos,USCA
2744,Perth Amboy,Nueva Jersey,East of USA,Estados Unidos,USCA
2788,Clifton,Nueva Jersey,East of USA,Estados Unidos,USCA
2808,Belleville,Nueva Jersey,East of USA,Estados Unidos,USCA
2916,Altoona,Pensilvania,East of USA,Estados Unidos,USCA
2926,Mentor,Ohio,East of USA,Estados Unidos,USCA
3018,Warwick,Rhode Island,East of USA,Estados Unidos,USCA
3064,New Brunswick,Nueva Jersey,East of USA,Estados Unidos,USCA
3089,Revere,Massachusetts,East of USA,Estados Unidos,USCA
3096,Milford,Connecticut,East of USA,Estados Unidos,USCA
3121,Woonsocket,Rhode Island,East of USA,Estados Unidos,USCA
3154,Andover,Massachusetts,East of USA,Estados Unidos,USCA
3290,Elyria,Ohio,East of USA,Estados Unidos,USCA
3323,Marlborough,Massachusetts,East of USA,Estados Unidos,USCA
3369,Mason,Ohio,East of USA,Estados Unidos,USCA
3399,Jamestown,Nueva York,East of USA,Estados Unidos,USCA
3445,Holyoke,Massachusetts,East of USA,Estados Unidos,USCA
3461,Laurel,Maryland,East of USA,Estados Unidos,USCA
3480,East Orange,Nueva Jersey,East of USA,Estados Unidos,USCA
3580,Lindenhurst,Nueva York,East of USA,Estados Unidos,USCA
3596,Nashua,Nuevo Hampshire,East of USA,Estados Unidos,USCA
8,Pasco,Washington,West of USA,Estados Unidos,USCA
115,Gilbert,Arizona,West of USA,Estados Unidos,USCA
118,Peoria,Arizona,West of USA,Estados Unidos,USCA
249,Seattle,Washington,West of USA,Estados Unidos,USCA
269,Denver,Colorado,West of USA,Estados Unidos,USCA
834,Henderson,Nevada,West of USA,Estados Unidos,USCA
841,Tucson,Arizona,West of USA,Estados Unidos,USCA
857,Parker,Colorado,West of USA,Estados Unidos,USCA
991,Las Vegas,Nevada,West of USA,Estados Unidos,USCA
993,Portland,Oregón,West of USA,Estados Unidos,USCA
1004,Redmond,Oregón,West of USA,Estados Unidos,USCA
1070,Spokane,Washington,West of USA,Estados Unidos,USCA
1075,Englewood,Colorado,West of USA,Estados Unidos,USCA
1076,Phoenix,Arizona,West of USA,Estados Unidos,USCA
1360,Aurora,Colorado,West of USA,Estados Unidos,USCA
1528,Tempe,Arizona,West of USA,Estados Unidos,USCA
1529,Albuquerque,Nuevo México,West of USA,Estados Unidos,USCA
1619,Vancouver,Washington,West of USA,Estados Unidos,USCA
1649,Arvada,Colorado,West of USA,Estados Unidos,USCA
1663,Covington,Washington,West of USA,Estados Unidos,USCA
1677,Longview,Washington,West of USA,Estados Unidos,USCA
1709,Salt Lake City,Utah,West of USA,Estados Unidos,USCA
1715,Everett,Washington,West of USA,Estados Unidos,USCA
1733,Bellevue,Washington,West of USA,Estados Unidos,USCA
1743,Glendale,Arizona,West of USA,Estados Unidos,USCA
1831,Mesa,Arizona,West of USA,Estados Unidos,USCA
1834,North Las Vegas,Nevada,West of USA,Estados Unidos,USCA
1837,Avondale,Arizona,West of USA,Estados Unidos,USCA
1845,Rio Rancho,Nuevo México,West of USA,Estados Unidos,USCA
1857,Eugene,Oregón,West of USA,Estados Unidos,USCA
1859,Edmonds,Washington,West of USA,Estados Unidos,USCA
1964,Caldwell,Idaho,West of USA,Estados Unidos,USCA
1974,Des Moines,Washington,West of USA,Estados Unidos,USCA
1979,Tigard,Oregón,West of USA,Estados Unidos,USCA
2057,Scottsdale,Arizona,West of USA,Estados Unidos,USCA
2059,Meridian,Idaho,West of USA,Estados Unidos,USCA
2082,Chandler,Arizona,West of USA,Estados Unidos,USCA
2142,Carlsbad,Nuevo México,West of USA,Estados Unidos,USCA
2335,Murray,Utah,West of USA,Estados Unidos,USCA
2337,Olympia,Washington,West of USA,Estados Unidos,USCA
2339,Layton,Utah,West of USA,Estados Unidos,USCA
2341,West Jordan,Utah,West of USA,Estados Unidos,USCA
2343,Broomfield,Colorado,West of USA,Estados Unidos,USCA
2344,Pleasant Grove,Utah,West of USA,Estados Unidos,USCA
2388,Provo,Utah,West of USA,Estados Unidos,USCA
2414,Colorado Springs,Colorado,West of USA,Estados Unidos,USCA
2421,Sierra Vista,Arizona,West of USA,Estados Unidos,USCA
2478,Orem,Utah,West of USA,Estados Unidos,USCA
2525,Lehi,Utah,West of USA,Estados Unidos,USCA
2655,Helena,Montana,West of USA,Estados Unidos,USCA
2656,Sparks,Nevada,West of USA,Estados Unidos,USCA
2662,Great Falls,Montana,West of USA,Estados Unidos,USCA
2716,Medford,Oregón,West of USA,Estados Unidos,USCA
2747,Pocatello,Idaho,West of USA,Estados Unidos,USCA
2748,Pueblo,Colorado,West of USA,Estados Unidos,USCA
2776,Logan,Utah,West of USA,Estados Unidos,USCA
2807,Reno,Nevada,West of USA,Estados Unidos,USCA
2843,Hillsboro,Oregón,West of USA,Estados Unidos,USCA
2875,Longmont,Colorado,West of USA,Estados Unidos,USCA
2876,Thornton,Colorado,West of USA,Estados Unidos,USCA
2884,Gresham,Oregón,West of USA,Estados Unidos,USCA
2965,Yuma,Arizona,West of USA,Estados Unidos,USCA
3016,Boise,Idaho,West of USA,Estados Unidos,USCA
3093,Bullhead City,Arizona,West of USA,Estados Unidos,USCA
3097,Renton,Washington,West of USA,Estados Unidos,USCA
3161,Loveland,Colorado,West of USA,Estados Unidos,USCA
3235,Clovis,Nuevo México,West of USA,Estados Unidos,USCA
3294,Marysville,Washington,West of USA,Estados Unidos,USCA
3337,Bozeman,Montana,West of USA,Estados Unidos,USCA
3372,Fort Collins,Colorado,West of USA,Estados Unidos,USCA
3374,Twin Falls,Idaho,West of USA,Estados Unidos,USCA
3390,Draper,Utah,West of USA,Estados Unidos,USCA
3398,Billings,Montana,West of USA,Estados Unidos,USCA
3462,Bellingham,Washington,West of USA,Estados Unidos,USCA
3485,Las Cruces,Nuevo México,West of USA,Estados Unidos,USCA
3527,Commerce City,Colorado,West of USA,Estados Unidos,USCA
3569,Farmington,Nuevo México,West of USA,Estados Unidos,USCA
3572,Missoula,Montana,West of USA,Estados Unidos,USCA
9,Los Angeles,California,West of USA,Estados Unidos,USCA
10,San Francisco,California,West of USA,Estados Unidos,USCA
116,San Jose,California,West of USA,Estados Unidos,USCA
117,Fresno,California,West of USA,Estados Unidos,USCA
250,Oakland,California,West of USA,Estados Unidos,USCA
594,Moreno Valley,California,West of USA,Estados Unidos,USCA
829,Costa Mesa,California,West of USA,Estados Unidos,USCA
840,San Diego,California,West of USA,Estados Unidos,USCA
858,Fairfield,California,West of USA,Estados Unidos,USCA
992,Morgan Hill,California,West of USA,Estados Unidos,USCA
1064,Sacramento,California,West of USA,Estados Unidos,USCA
1078,Redlands,California,West of USA,Estados Unidos,USCA
1532,Woodland,California,West of USA,Estados Unidos,USCA
1626,La Mesa,California,West of USA,Estados Unidos,USCA
1652,Inglewood,California,West of USA,Estados Unidos,USCA
1701,Anaheim,California,West of USA,Estados Unidos,USCA
1706,Riverside,California,West of USA,Estados Unidos,USCA
1712,San Bernardino,California,West of USA,Estados Unidos,USCA
1768,Hesperia,California,West of USA,Estados Unidos,USCA
1822,Lake Elsinore,California,West of USA,Estados Unidos,USCA
1829,Redwood City,California,West of USA,Estados Unidos,USCA
1843,Bakersfield,California,West of USA,Estados Unidos,USCA
1846,Vallejo,California,West of USA,Estados Unidos,USCA
1853,Santa Barbara,California,West of USA,Estados Unidos,USCA
1963,Pomona,California,West of USA,Estados Unidos,USCA
1976,Apple Valley,California,West of USA,Estados Unidos,USCA
2008,Sunnyvale,California,West of USA,Estados Unidos,USCA
2117,Mission Viejo,California,West of USA,Estados Unidos,USCA
2277,Lake Forest,California,West of USA,Estados Unidos,USCA
2342,Antioch,California,West of USA,Estados Unidos,USCA
2386,Torrance,California,West of USA,Estados Unidos,USCA
2416,San Gabriel,California,West of USA,Estados Unidos,USCA
2455,Redondo Beach,California,West of USA,Estados Unidos,USCA
2595,Escondido,California,West of USA,Estados Unidos,USCA
2599,Westminster,California,West of USA,Estados Unidos,USCA
